,Imperium Prediction and Forecast,lower imperium,upper imperium,Legacy Prediction and Forecast,lower legacy,upper legacy,Panfam Prediction and Forecast,lower panfam,upper panfam,PAPI Prediction and Forecast,lower papi_total,upper papi_total,Imperium Subcap Prediction and Forecast,lower imperium wo caps,upper imperium wo caps,PAPI Subcap Prediction and Forecast,lower papi wo caps,upper papi wo caps
2020-04-20,4637.588739103599,,,3592.5427668960133,,,3765.5032433727647,,,11164.176567492337,,,4453.246061076053,,,10524.385323499033,,
2020-04-27,4345.478256329354,,,3227.9847814363166,,,3468.055633313885,,,9739.334888811818,,,4197.4178572266255,,,9073.780698631808,,
2020-05-04,4488.483620286119,,,3068.295920284099,,,3587.308822600164,,,9659.343777026246,,,4246.326190315487,,,8835.053529640538,,
2020-05-11,4312.268479865461,,,3005.9783159320145,,,3428.304570218459,,,9457.937584851856,,,4133.460806264269,,,8790.639172618907,,
2020-05-18,4411.220058717061,,,3162.5512968666276,,,3581.8259173456227,,,9857.178937424493,,,4230.525036548316,,,9182.43725063116,,
2020-05-25,4752.806330917107,,,3187.4783386074614,,,3615.40871202969,,,9935.74163649961,,,4396.060933156768,,,9192.747726368323,,
2020-06-01,4484.417117045643,,,3049.6006389784734,,,3613.3526225592364,,,9764.332111244808,,,4219.9909340368695,,,8979.400189960841,,
2020-06-08,4654.532502605585,,,3167.225117193034,,,3768.930059156853,,,10162.859257462218,,,4371.982984559176,,,9440.19914406027,,
2020-06-15,4170.618616988854,,,3007.5362560408166,,,3418.024122866194,,,9558.64068093905,,,3976.2017044862396,,,8844.57089185946,,
2020-06-22,3877.15263313445,,,2709.969695259611,,,3446.1240122957192,,,9112.261708921345,,,3660.1786291428302,,,8354.426737585023,,
2020-06-29,5440.167770888958,,,3224.6895288850656,,,3213.1005389777033,,,9046.554724240337,,,5111.305997654976,,,8315.564175191095,,
2020-07-06,5543.410201236449,,,3392.9664064683197,,,3727.716768281407,,,10305.575153809294,,,5359.865623013327,,,9566.241961680864,,
2020-07-13,6295.035550184566,,,3819.8419962801013,,,4122.264236808474,,,10901.995766102316,,,5993.416645487495,,,10104.75197855308,,
2020-07-20,4918.4018109519075,,,3379.903287877148,,,4055.09864744034,,,10679.163383271078,,,4755.228634885313,,,9896.956236773303,,
2020-07-27,5254.341730575904,,,3576.184395753591,,,3590.5139285843284,,,9857.23724310186,,,5059.709391377928,,,8985.73103609172,,
2020-08-03,5295.684513520751,,,3641.61788032328,,,3996.4706272203275,,,10552.10172106166,,,5084.539775869196,,,9599.6149612272,,
2020-08-10,4889.711940013157,,,3753.010598102632,,,4293.918237279207,,,11071.329741312655,,,4709.826700819153,,,9973.171428319853,,
2020-08-17,5011.02928668738,,,3516.9826716191105,,,4025.2558798066707,,,10404.97521188462,,,4859.5614436604355,,,9379.129403155528,,
2020-08-24,4661.3100080063805,,,3411.042744220566,,,3677.091396143282,,,9755.761634982071,,,4488.610548078767,,,8859.640048706084,,
2020-08-31,4635.555487483361,,,3379.1049719901225,,,3406.372949200293,,,9453.652346720486,,,4434.435163734182,,,8587.60211194859,,
2020-09-07,4436.296828700001,,,3311.33457725723,,,3742.200896040963,,,9987.878700431276,,,4201.9324725886745,,,8648.671852853333,,
2020-09-14,4481.7061148853245,,,3234.216541871525,,,3223.3809863299684,,,9233.67678931016,,,4334.361189875437,,,8349.668056475562,,
2020-09-21,4593.5349539984345,,,3292.6392959516047,,,3568.8040173660866,,,9766.474730310494,,,4394.556061369419,,,8834.260416122295,,
2020-09-28,4756.195083617505,,,3455.4440373214265,,,3995.0999009066923,,,10419.25933898919,,,4539.776188848653,,,9287.921348557535,,
2020-10-05,5682.918312457439,,,4134.7032161389025,,,4633.16030837804,,,11909.824707270358,,,5245.595261315304,,,9933.031958680895,,
2020-10-12,5839.803148273284,,,4150.398321105233,,,4636.324253755277,,,12016.188472546206,,,5502.611275514457,,,10051.909870360148,,
2020-10-19,4408.155767074154,,,3257.701347381865,,,3579.506957468318,,,9660.005001728301,,,4284.383359455277,,,8818.309029700165,,
2020-10-26,4677.576020968287,,,3287.1865055707976,,,3616.0940751865073,,,9812.183937045109,,,4573.635804064018,,,8999.228027916928,,
2020-11-02,4721.6298060734525,,,3312.8925173660323,,,3655.1597751251156,,,9927.885366592096,,,4645.869649856797,,,9095.19476362438,,
2020-11-09,4521.015646209933,,,3453.8860972126245,,,3825.129838015904,,,10264.99076625987,,,4351.667215429957,,,9324.404570396731,,
2020-11-16,4725.018558773849,,,3658.7552215201035,,,4026.626606120306,,,10919.20378764902,,,4542.033496529677,,,9955.722930918499,,
2020-11-23,4767.716842798855,,,3643.954790486483,,,3926.563585224923,,,10704.941881080522,,,4633.078239664325,,,9944.619341663089,,
2020-11-30,4556.9364248341435,,,3531.7831026527306,,,3757.2788854909522,,,9999.30600211493,,,4439.702214989906,,,9207.816883214948,,
2020-12-07,4346.833757409513,,,3211.6264102938944,,,3620.8916172842314,,,9448.652902233887,,,4204.189780269699,,,8720.052069495243,,
2020-12-14,4328.534492827367,,,3129.834554581783,,,3455.719096491167,,,9230.819963889247,,,4195.912985439276,,,8533.670392708036,,
